[32672:25224:0205/172427.235:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[32672:29748:0205/172427.314:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[32672:25224:0205/172427.336:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[32672:25224:0205/172431.754:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[22712:22632:0205/172433.586:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-0016D2E2F263E18C7C4E206F9C6E870F will be ignored
[32672:2684:0205/181428.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=52})
[32672:2684:0205/181430.447:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181431.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181432.477:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181435.449:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181436.459:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=54})
[32672:2684:0205/181437.483:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=57})
[32672:2684:0205/181438.469:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=58})
[32672:2684:0205/181440.580:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=61})
[32672:25224:0205/181440.847:VERBOSE1:device_event_log_impl.cc(198)] [18:14:40.846] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[32672:25224:0205/181440.847:VERBOSE1:device_event_log_impl.cc(198)] [18:14:40.847] Display: EVENT: screen_win.cc:895 Display[3317366019] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[32672:2684:0205/181442.468:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=60})
[32672:25224:0205/181442.786:VERBOSE1:device_event_log_impl.cc(198)] [18:14:42.786] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[32672:25224:0205/181442.786:VERBOSE1:device_event_log_impl.cc(198)] [18:14:42.786] Display: EVENT: screen_win.cc:895 Display[3317366019] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[32672:2684:0205/181444.631:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=100})
[32672:25224:0205/181444.814:VERBOSE1:device_event_log_impl.cc(198)] [18:14:44.814] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[32672:25224:0205/181444.814:VERBOSE1:device_event_log_impl.cc(198)] [18:14:44.814] Display: EVENT: screen_win.cc:895 Display[3317366019] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[32672:2684:0205/181454.475:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=59})
[32672:2684:0205/181457.471:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=60})
[32672:2684:0205/181458.470:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=58})
[32672:2684:0205/181500.471:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=57})
